Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
24.59,17.56,24.12,16.87,,,,,,,,
24.59,19.27,24.66,16.42,,,,,,,,
23.79,18.14,15.05,16.61,,,,,,,,
23.39,18.17,15.57,16.72,,,,,,,,
23.60,17.97,16.78,26.77,,,,,,,,
23.53,19.10,16.07,26.80,,,,,,,,
23.56,20.07,16.43,27.02,,,,,,,,
24.06,20.68,16.12,27.00,,,,,,,,
23.51,21.62,16.53,27.00,,,,,,,,
23.12,21.48,15.60,12.00,,,,,,,,
13.74,21.77,15.28,13.00,,,,,,,,
14.37,22.99,5.50,12.00,,,,,,,,
14.41,24.16,5.35,,,,,,,,,
14.35,19.43,5.50,,,,,,,,,
9.90,22.60,5.51,,,,,,,,,
10.19,23.59,5.79,,,,,,,,,
9.54,25.00,6.12,,,,,,,,,
11.07,25.00,5.80,,,,,,,,,
11.67,24.88,6.40,,,,,,,,,
11.45,24.61,6.58,,,,,,,,,
11.35,23.23,6.41,,,,,,,,,
13.40,23.01,6.42,,,,,,,,,
11.02,23.09,5.31,,,,,,,,,
31.51,22.80,5.09,,,,,,,,,
31.53,22.86,5.69,,,,,,,,,
31.51,23.24,16.07,,,,,,,,,
31.32,23.05,16.61,,,,,,,,,
31.35,23.10,29.18,,,,,,,,,
21.03,35.99,,,,,,,,,,
21.38,28.20,,,,,,,,,,
19.32,24.79,,,,,,,,,,
