Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2.070,2.206,2.164,2.174,,,,,,,,
2.054,2.123,2.090,2.112,,,,,,,,
2.026,2.112,2.039,2.090,,,,,,,,
2.009,2.101,2.015,2.065,,,,,,,,
2.021,2.086,2.016,2.079,,,,,,,,
2.019,2.063,2.039,2.083,,,,,,,,
2.014,2.027,2.035,2.071,,,,,,,,
2.001,2.023,2.030,2.062,,,,,,,,
1.994,2.033,2.021,2.068,,,,,,,,
2.003,2.026,2.017,2.077,,,,,,,,
2.015,2.019,2.011,2.082,,,,,,,,
2.028,2.014,2.022,2.083,,,,,,,,
2.021,2.024,2.041,2.118,,,,,,,,
2.013,2.018,2.029,,,,,,,,,
2.042,2.032,2.020,,,,,,,,,
2.039,2.024,2.010,,,,,,,,,
2.043,2.020,2.003,,,,,,,,,
2.044,2.016,2.006,,,,,,,,,
2.058,2.022,2.011,,,,,,,,,
2.045,2.006,2.030,,,,,,,,,
2.037,1.989,2.012,,,,,,,,,
2.038,1.994,2.008,,,,,,,,,
2.044,2.049,1.997,,,,,,,,,
2.044,2.035,2.010,,,,,,,,,
2.044,2.026,2.015,,,,,,,,,
2.045,2.026,2.042,,,,,,,,,
2.045,2.041,2.147,,,,,,,,,
2.044,2.043,2.160,,,,,,,,,
2.039,2.037,,,,,,,,,,
2.143,2.124,,,,,,,,,,
2.191,2.154,,,,,,,,,,
