Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
758,717,737,716,,,,,,,,
756,717,735,715,,,,,,,,
753,717,736,716,,,,,,,,
751,717,736,716,,,,,,,,
750,717,733,716,,,,,,,,
750,733,734,716,,,,,,,,
750,735,734,716,,,,,,,,
749,735,734,717,,,,,,,,
749,734,732,716,,,,,,,,
753,734,733,715,,,,,,,,
746,734,732,715,,,,,,,,
746,734,717,715,,,,,,,,
745,732,723,,,,,,,,,
745,731,723,,,,,,,,,
746,732,723,,,,,,,,,
749,731,722,,,,,,,,,
747,731,722,,,,,,,,,
745,731,721,,,,,,,,,
744,736,715,,,,,,,,,
744,732,715,,,,,,,,,
744,735,715,,,,,,,,,
744,735,715,,,,,,,,,
744,735,715,,,,,,,,,
744,735,712,,,,,,,,,
744,735,713,,,,,,,,,
727,736,713,,,,,,,,,
727,740,718,,,,,,,,,
726,739,717,,,,,,,,,
717,737,,,,,,,,,,
718,736,,,,,,,,,,
717,737,,,,,,,,,,
