Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8.516,8.336,8.449,8.241,,,,,,,,
8.251,8.314,8.503,8.173,,,,,,,,
8.594,8.314,8.496,8.163,,,,,,,,
8.595,8.315,8.491,8.157,,,,,,,,
8.577,8.313,8.481,8.101,,,,,,,,
8.578,8.422,8.493,8.104,,,,,,,,
8.577,8.432,8.489,8.105,,,,,,,,
8.559,8.422,8.487,8.104,,,,,,,,
8.569,8.435,8.468,8.022,,,,,,,,
8.573,8.432,8.452,8.022,,,,,,,,
8.533,8.431,8.249,7.997,,,,,,,,
8.560,8.466,8.230,8.006,,,,,,,,
8.559,8.438,8.178,8.151,,,,,,,,
8.559,8.433,8.179,,,,,,,,,
8.475,8.404,8.178,,,,,,,,,
8.474,8.403,8.177,,,,,,,,,
8.456,8.401,8.177,,,,,,,,,
8.482,8.396,8.192,,,,,,,,,
8.481,8.428,8.184,,,,,,,,,
8.482,8.464,8.235,,,,,,,,,
8.480,8.468,8.234,,,,,,,,,
8.460,8.469,8.233,,,,,,,,,
8.450,8.730,8.238,,,,,,,,,
8.400,8.456,8.229,,,,,,,,,
8.396,8.454,8.313,,,,,,,,,
8.394,8.454,8.286,,,,,,,,,
8.394,8.473,8.248,,,,,,,,,
8.392,8.464,8.240,,,,,,,,,
8.337,8.466,,,,,,,,,,
8.340,8.451,,,,,,,,,,
8.337,8.450,,,,,,,,,,
