Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3.551,3.699,3.777,3.719,,,,,,,,
3.390,3.907,3.639,3.814,,,,,,,,
3.429,3.918,3.552,3.621,,,,,,,,
3.423,3.942,3.562,3.598,,,,,,,,
3.308,3.430,3.477,3.585,,,,,,,,
3.329,3.539,3.431,3.642,,,,,,,,
3.364,3.505,3.442,3.648,,,,,,,,
3.375,3.492,3.471,3.664,,,,,,,,
3.358,3.404,3.459,3.729,,,,,,,,
3.290,3.422,3.431,3.586,,,,,,,,
3.273,3.468,3.445,3.637,,,,,,,,
3.290,3.489,3.465,3.683,,,,,,,,
3.317,3.460,3.459,3.586,,,,,,,,
3.354,3.420,3.479,,,,,,,,,
3.404,3.404,3.497,,,,,,,,,
3.354,3.430,3.534,,,,,,,,,
3.309,3.462,3.562,,,,,,,,,
3.353,3.491,3.536,,,,,,,,,
3.381,3.450,3.487,,,,,,,,,
3.418,3.430,3.538,,,,,,,,,
3.446,3.436,3.567,,,,,,,,,
3.409,3.471,3.587,,,,,,,,,
3.307,3.463,3.548,,,,,,,,,
3.442,3.470,3.539,,,,,,,,,
3.474,3.477,3.588,,,,,,,,,
3.490,3.521,3.606,,,,,,,,,
3.521,3.451,3.668,,,,,,,,,
3.539,3.495,3.831,,,,,,,,,
3.499,3.553,,,,,,,,,,
3.554,3.731,,,,,,,,,,
3.878,3.837,,,,,,,,,,
