NAMA,JENIS,23-Apr-2026,24-Apr-2026,25-Apr-2026,26-Apr-2026,27-Apr-2026,28-Apr-2026,29-Apr-2026,30-Apr-2026,01-May-2026,02-May-2026,03-May-2026,04-May-2026,05-May-2026,06-May-2026,07-May-2026,08-May-2026,09-May-2026,10-May-2026,11-May-2026,12-May-2026,13-May-2026,14-May-2026,15-May-2026,16-May-2026,17-May-2026,18-May-2026,19-May-2026,20-May-2026,21-May-2026,22-May-2026,23-May-2026,24-May-2026,25-May-2026,26-May-2026,27-May-2026,28-May-2026,29-May-2026,30-May-2026,31-May-2026,01-Jun-2026,02-Jun-2026,03-Jun-2026,04-Jun-2026,05-Jun-2026,06-Jun-2026,07-Jun-2026,08-Jun-2026,09-Jun-2026,10-Jun-2026,11-Jun-2026,12-Jun-2026,13-Jun-2026,14-Jun-2026,15-Jun-2026,16-Jun-2026,17-Jun-2026,18-Jun-2026,19-Jun-2026,20-Jun-2026,21-Jun-2026,22-Jun-2026,23-Jun-2026,24-Jun-2026,25-Jun-2026,26-Jun-2026,27-Jun-2026,28-Jun-2026,29-Jun-2026,30-Jun-2026,01-Jul-2026,02-Jul-2026,03-Jul-2026,04-Jul-2026,05-Jul-2026,06-Jul-2026,07-Jul-2026,08-Jul-2026,09-Jul-2026,10-Jul-2026,11-Jul-2026,12-Jul-2026,13-Jul-2026,14-Jul-2026,15-Jul-2026,16-Jul-2026,17-Jul-2026,18-Jul-2026,19-Jul-2026,20-Jul-2026,21-Jul-2026,22-Jul-2026,23-Jul-2026,24-Jul-2026,25-Jul-2026,26-Jul-2026,27-Jul-2026,28-Jul-2026,29-Jul-2026,30-Jul-2026,31-Jul-2026
Agen Brilink Afsari (Warung Teh Ella),DEPOS,229285000,359818000,1237308000,867772000,893170000,680538000,566283000,436944000,795580000,1181884000,1083792000,170000000,147600000,466297000,509745000,684016000,646215000,471933000,546964000,583060000,1212794000,1587485000,1260200000,984500000,596900000,812621000,696052000,632999000,392686000,559352000,1628880000,1602100000,486100000,749298000,719141000,1563510000,1133584000,862867000,641880000,1573628000,854423000,732522000,575184000,942392000,1304914000,1244628000,890941000,718625000,683527000,452870000,623136000,871757000,813615000,879316000,1132787000,747715000,737353000,704039000,944247000,1415873000,1176215000,748865000,1047533000,1123085000,879999000,1022547000,1489600000,934677000,682411000,842794000,612189000,1077858000,1635908000,1298219000,767961000,779848000,744463000,1511460000,1267915000,1718391000,1888635000,1754143000,1289574000,1233059000,1214134000,1364075000,1807087000,1592348000,1513812000,1084084000,1168241000,1277168000,1268443000,1237984000,1380010000,1587838000,1470055000,1365681000,1155204000,1436492000
For You Cell 2,KISAN,0,27000,10000,0,0,3800000,5002000,440640000,879200000,1005000000,827400000,700515000,605120000,336650000,298500000,514800000,694800000,313250000,223950000,349750000,421600000,834300000,1195614000,1281378000,1074920000,153700000,187350000,411150000,345150000,386150000,1475950000,441600000,148550000,988650000,688370000,1224500000,527350000,1546170000,1213950000,1012950000,0,0,120000000,179150000,1510650000,1393300000,583100000,422700000,242350000,301550000,272150000,1676500000,1023100000,616950000,1355800000,353106000,532600000,397700000,1628150000,1039002000,538850000,342150000,699900000,413500000,385000000,1228500000,935700000,681150000,514200000,636050000,612400000,833800000,1402950000,922500000,619500000,315000000,699600000,652150000,1041050000,1535250000,707950000,551530000,150000000,470000000,642050000,557600000,895550000,704100000,341300000,213450000,283200000,200000000,388650000,1086900000,865700000,261450000,198750000,233350000,259000000,647850000
