NAMA_UKER,JUMLAH_AGEN,23-Apr-2026,24-Apr-2026,25-Apr-2026,26-Apr-2026,27-Apr-2026,28-Apr-2026,29-Apr-2026,30-Apr-2026,01-May-2026,02-May-2026,03-May-2026,04-May-2026,05-May-2026,06-May-2026,07-May-2026,08-May-2026,09-May-2026,10-May-2026,11-May-2026,12-May-2026,13-May-2026,14-May-2026,15-May-2026,16-May-2026,17-May-2026,18-May-2026,19-May-2026,20-May-2026,21-May-2026,22-May-2026,23-May-2026,24-May-2026,25-May-2026,26-May-2026,27-May-2026,28-May-2026,29-May-2026,30-May-2026,31-May-2026,01-Jun-2026,02-Jun-2026,03-Jun-2026,04-Jun-2026,05-Jun-2026,06-Jun-2026,07-Jun-2026,08-Jun-2026,09-Jun-2026,10-Jun-2026,11-Jun-2026,12-Jun-2026,13-Jun-2026,14-Jun-2026,15-Jun-2026,16-Jun-2026,17-Jun-2026,18-Jun-2026,19-Jun-2026,20-Jun-2026,21-Jun-2026,22-Jun-2026,23-Jun-2026,24-Jun-2026,25-Jun-2026,26-Jun-2026,27-Jun-2026,28-Jun-2026,29-Jun-2026,30-Jun-2026,01-Jul-2026,02-Jul-2026,03-Jul-2026,04-Jul-2026,05-Jul-2026,06-Jul-2026,07-Jul-2026,08-Jul-2026,09-Jul-2026,10-Jul-2026,11-Jul-2026,12-Jul-2026,13-Jul-2026,14-Jul-2026,15-Jul-2026,16-Jul-2026,17-Jul-2026,18-Jul-2026,19-Jul-2026,20-Jul-2026,21-Jul-2026,22-Jul-2026,23-Jul-2026,24-Jul-2026,25-Jul-2026,26-Jul-2026,27-Jul-2026,28-Jul-2026,29-Jul-2026,30-Jul-2026,31-Jul-2026
KC Bandung Kopo,2,178.458366524,208.738956824,208.784720846,208.403349014,208.101384168,207.877565288,205.930022013,210.999333413,209.875391737,210.950553511,209.971345425,179.98589056,176.463527667,177.680627808,185.286837217,217.213235371,217.737233212,215.987532784,225.959074002,226.145133656,225.403849229,222.985894113,222.598329735,224.690658163,224.535037964,169.276445822,169.611843757,170.173035657,169.522491132,220.520503866,222.042892924,220.343441678,172.433483577,181.358011421,180.931432270,178.761740474              -,211.156675887,209.410252934,208.638206920,207.429024076,180.350178970,180.329676693,174.514113591,201.124465529,200.061219347,198,176,177.890647803,206.445813223,209.970765656,214.141600019,212.086491935,211.941397578,208.875698577,208.671645762,211.135106312,215.600365185,220.128317682,211.786738659,208.553864668,209.412870321,208.590859091,210.480021079,205.801597739,231.498647813,230.823397253,230.138546256,233.762525112,234.441030659,232.396580521,232.342281355,233.876381435,233.192431144,231.776952318,205.23856541,205.12543974,206.382565262,205.054193623,210.3228792,211.08600589,211.310666957,211.322642832,214.797678838,212.173897543,234.059014504,189.142813314,190.162950027,189.703067961,189.536998288,189.081311383,176.545408365,180.619262442,247.820340039,245.660544664,244.154858706,243.100607037,180.218017762,181.65567251,183.287521648,245.928575907
KCP TKI II,1,71.966452187,70.246160962,70.224817813,69.45419347675,70.00465061,70.54840413145,69.977508544,71.26169821,73.473326662,68.684852874,68.330101505,69.467222766,69.634716485,69.353369773,69.979507921,73.743551550,70.451816899,73.624590286,74.507154261,70.782532846,70.418963568,70.936638127,70.480895052,69.718810010,69.260366189,72.045240222,73.185148975,73.211768520,73.357379127,73.419526672,73.456713025,72.979518299,74.643039387,74.131465105,74.480939096,74.087953062,75.700162886,72.903465331,72.750783973,71.628027390,72.785511408,73.453430445,72.145270805,72.611538253,72.818996175,72,70,70.353632604,72.172874523,71.924691317,70.890973653,69.024433330,70.000000000,70.674044158,68.998651850,67.195185138,68.060230634,68.294475839,68.332077690,68.431064681,68.437099023,68.347044235,68.576868751,69.334349387,70.874280145,70.728781891,70.306137774,70.790802024,72.751752666,75.582916445,71.277160194,71.21150372,72.435744084,72.448436839,72.913708157,73.733078862,73.396109858,72.98305474,75.37140269,75.429147797,74.901527341,75.367256217,74.977354584,74.864860055,76.413542307,76.212854781,76.652584034,76.408948113,76.723909824,76.733651865,76.650226283,75.875159422,76.593251875,75.827317926,75.76334064,75.047721729,75.920732991,74.685174818,74.821581549,75.676617588
KCP Suci,1,58.053187326,58.661593653,58.509566517,58.72168777147,58.490982136,58.07858096107,57.95195899,61.565347922,61.001651412,60.933335392,60.393412932,58.797368162,58.06779445,58.525627827,58.486191001,59.201266266,59.411306729,58.701224673,59.184046612,60.317091343,59.919799255,59.973363900,60.325122332,72.943001081,59.347422075,59.209846096,58.885912960,58.420370007,58.700067337,59.769821276,59.731007592,59.662834278,60.126055808,61.868439271,61.256807548,59.895045035,65.016109626,65.431295009,64.624424844,64.644640099,64.850844679,63.518199684,63.987156533,63.332805267,63.477717276,62,62,61.485436516,62.219928483,62.130219541,63.032012431,62.063387996,62.063387996,62.009763843,61.500698962,62.344907635,62.329399685,64.826014068,63.826803719,63.534830589,63.637825312,62.687257546,61.708108429,61.499728534,62.442114821,62.210976472,61.874763064,64.721527193,67.670857013,67.187624556,65.457747895,64.59249521,64.553958174,64.496390223,64.360154495,62.367968346,60.921917025,60.737361375,60.632108722,61.172877454,61.08379364,62.832952402,62.773125811,60.783255675,61.073955598,64.395595128,62.77913232,62.571155086,61.842133251,63.722780147,63.38954227,62.12665171,63.015654342,62.788802861,62.732717463,62.045577766,61.809354827,61.746938509,63.001894259,66.71076241
Unit Caringin,14,85.568221155,86.105158697,85.202703677,84.17383011286,85.623616864,85.33527562865,85.52076419629,86.471173248,86.786940176,85.940541736,85.92723292,86.382854767,86.269686866,86.826284323,86.988119151,87.509142068,86.840881912,86.057719697,86.994311805,87.854278349,87.377920580,86.216812544,86.056611998,85.627226304,85.390508070,85.181336712,85.654766323,84.993032292,84.809697939,84.851507642,85.497507401,84.804958220,85.688026238,86.126227439,85.449926299,85.299845242,85.639957527,85.315369680,86.685285577,86.390050735,86.807614615,88.890279348,88.817928162,87.554364386,86.881628374,85,86,86.972575612,86.822986816,87.718494188,87.229854581,86.287486030,86.287486030,87.044455227,85.901767980,85.916333340,86.781885591,86.668614117,86.159605635,85.462471038,86.257343635,86.280473554,86.963071685,86.275102004,86.692291164,86.421197408,86.558690467,87.359877088,88.779681411,87.700331418,88.020604868,87.938886044,87.183089647,86.348177382,87.480424164,87.249314691,87.454259501,87.113081625,86.341995961,85.001606922,84.934074611,84.966111097,84.622833201,84.263996794,84.592985204,85.107105996,84.500999514,84.718796926,84.167800448,83.869370528,84.08457145,83.59074133,83.749655921,82.58313377,82.738880977,82.947491642,83.346773588,83.721689053,83.60170923,84.264302778
Unit Cicaheum,1,53.361589909,53.214837773,52.826462133,52.33499645646,52.679728746,52.79824703691,52.95787406855,53.78782409311,54.323181815,54.090892176,53.699453191,53.415997682,53.413862163,53.348422753,53.615686083,53.956928887,54.150414514,53.875718612,54.798035254,54.458686335,54.097740852,54.088404768,54.093452809,54.082747384,53.941458988,53.743353615,53.091748805,52.997838752,52.812900609,53.132989497,53.209334390,52.986949818,53.145448288,53.339717849,53.171690848,53.263315394,53.737725603,53.433472935,53.597004637,53.991899701,54.817278882,55.105960395,56.137745067,55.719610147,55.524449582,55,54,54.660329082,54.376444506,54.314487607,54.312432270,53.841899021,53.841899021,53.907419989,53.652730218,53.535988575,53.815681429,53.620608642,53.255036547,53.027948366,53.457426815,52.881324022,53.010953333,52.832450746,53.359333733,53.616720019,53.599470086,54.493883569,54.42176872,54.637041599,54.465820916,54.161006866,53.71881493,53.492611152,52.341072854,52.592607249,52.952139272,52.600600914,52.406659325,52.262794701,52.207818743,52.303604627,52.718902992,52.347484003,52.427329548,52.39611488,52.393645761,52.234711739,52.575396732,52.305718787,52.711910769,53.147972103,53.679896186,53.039202403,52.771103268,53.946250204,54.353226774,54.092860271,54.035172378,55.276456567
Unit Dulatip,2,21.683904694,21.737028636,21.448677415,21.44968192579,21.44849047,21.25939364927,21.10610049411,21.46598342131,22.002114618,21.84562929,21.902639603,21.533561253,21.630284646,21.974208181,21.703005409,21.662983349,21.293998196,21.628168099,21.795134117,21.478316493,21.478316493,21.367208746,21.608600539,21.583274713,21.566649433,21.481807179,21.404466028,21.366906719,21.321194602,21.364821215,21.257598665,21.293873595,21.353354778,22.130593221,22.044452531,53.263315394,21.386318041,21.787830015,22.089413331,22.079856100,22.581291176,60.357582675,21.565876625,21.540655423,21.428445242,21,21,21.952533390,21.580160918,21.470757586,21.554631243,21.343855096,21.343855096,21.043888345,20.993537940,20.930458532,20.800709870,21.103049836,21.188740487,21.027335983,21.107651675,21.284642653,21.655866768,21.696198787,21.607666560,21.710107733,21.792931157,21.677521763,21.39779436,21.537944619,21.613608431,21.766468163,21.664951135,21.495545456,21.531346926,21.890882195,21.970846864,21.01591804,21.250751077,21.277351614,21.210380747,21.249005033,21.553537244,21.293984193,21.430720453,21.239079306,21.243475421,21.242162129,21.156240397,20.97349784,21.267509061,21.758565139,21.933082181,21.898438868,21.852380765,21.890449323,22.319300849,21.809519198,22.089208452,22.048382109
