Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
4.471,4.383,4.483,4.373,,,,,,,,
4.209,4.372,4.542,4.314,,,,,,,,
4.557,4.373,4.537,4.307,,,,,,,,
4.560,4.372,4.541,4.302,,,,,,,,
4.544,4.358,4.537,4.257,,,,,,,,
4.545,4.452,4.550,4.264,,,,,,,,
4.546,4.457,4.549,4.265,,,,,,,,
4.530,4.445,4.548,4.264,,,,,,,,
4.537,4.455,4.540,4.188,,,,,,,,
4.536,4.453,4.524,4.186,,,,,,,,
4.502,4.453,4.320,4.166,,,,,,,,
4.532,4.492,4.318,4.175,,,,,,,,
4.531,4.463,4.269,,,,,,,,,
4.532,4.463,4.268,,,,,,,,,
4.452,4.432,4.268,,,,,,,,,
4.450,4.432,4.269,,,,,,,,,
4.436,4.431,4.270,,,,,,,,,
4.464,4.427,4.299,,,,,,,,,
4.466,4.463,4.298,,,,,,,,,
4.467,4.503,4.351,,,,,,,,,
4.466,4.505,4.351,,,,,,,,,
4.449,4.508,4.350,,,,,,,,,
4.436,4.502,4.356,,,,,,,,,
4.428,4.501,4.349,,,,,,,,,
4.427,4.499,4.433,,,,,,,,,
4.426,4.494,4.418,,,,,,,,,
4.426,4.509,4.374,,,,,,,,,
4.425,4.503,4.372,,,,,,,,,
4.379,4.508,,,,,,,,,,
4.381,4.483,,,,,,,,,,
4.383,4.483,,,,,,,,,,
