Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2.940,3.094,3.230,3.173,,,,,,,,
2.820,3.345,3.117,3.250,,,,,,,,
2.846,3.349,3.035,3.060,,,,,,,,
2.828,3.366,3.037,3.060,,,,,,,,
2.744,2.854,2.884,3.047,,,,,,,,
2.754,2.951,2.908,3.094,,,,,,,,
2.777,2.911,2.919,3.100,,,,,,,,
2.777,2.893,2.943,3.112,,,,,,,,
2.795,2.838,2.920,3.170,,,,,,,,
2.743,2.849,2.897,3.047,,,,,,,,
2.731,2.884,2.911,3.087,,,,,,,,
2.747,2.890,2.935,3.134,,,,,,,,
2.764,2.885,2.934,3.041,,,,,,,,
2.789,2.854,2.955,,,,,,,,,
2.832,2.856,2.971,,,,,,,,,
2.778,2.873,3.003,,,,,,,,,
2.742,2.894,3.024,,,,,,,,,
2.777,2.911,2.968,,,,,,,,,
2.786,2.908,2.948,,,,,,,,,
2.811,2.894,2.999,,,,,,,,,
2.828,2.898,3.025,,,,,,,,,
2.808,2.945,3.040,,,,,,,,,
2.731,2.930,2.998,,,,,,,,,
2.838,2.938,2.981,,,,,,,,,
2.856,2.941,3.045,,,,,,,,,
2.863,2.982,3.050,,,,,,,,,
2.881,2.907,3.124,,,,,,,,,
2.888,2.961,3.276,,,,,,,,,
2.909,2.986,,,,,,,,,,
2.952,3.191,,,,,,,,,,
3.277,3.285,,,,,,,,,,
